state,year,dissolved_oxygen,bod,fecal_coliform,source_file
Uttar Pradesh,2019,8.5,,1350.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2019,8.3,,2100.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2019,8.1,,2650.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2019,7.5,,2150.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2019,7.5,,2600.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2019,7.6,,2200.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2019,7.6,,3650.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2019,7.3,,3700.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2019,6.8,,22000.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2019,7.3,,6400.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2019,7.9,,2850.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2019,8.0,,2750.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2019,8.2,,7850.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2019,8.0,,11000.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2019,8.1,,10150.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2019,7.8,,7000.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2019,8.2,,800.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2019,7.6,,8500.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2019,7.9,,7000.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2019,8.2,,800.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2019,7.2,,19500.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2019,8.1,,8000.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2019,7.4,,13000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,8.3,,7450.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,7.6,,4000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,7.6,,4000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,7.7,,6450.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,7.9,,2100.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,8.2,,3300.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,8.5,,9950.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,8.3,,3300.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,8.1,,3600.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,8.1,,11000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,7.3,,4500.0,RS_Session_255_AU_90.1 (1).csv
